batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
1,levent-01600,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01601,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01601,natural_impact,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01605,artificial_impact_sivb,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01605,artificial_impact_sivb,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01616,artificial_impact_lm,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01616,artificial_impact_lm,S14,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
1,levent-01619,natural_impact,S12,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-01619,natural_impact,S14,SHZ,SHZ,,,usable_integrity
1,levent-01632,deep_moonquake_assigned,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01686,deep_moonquake_assigned,S12,MH1;MH2;MHZ,,,MH1;MH2;MHZ,reject_integrity
1,levent-01693,natural_impact,S14,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
1,levent-01754,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01754,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01756,deep_moonquake_assigned,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01767,natural_impact,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01767,natural_impact,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01780,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01780,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01787,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01787,deep_moonquake_assigned,S14,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
1,levent-01791,natural_impact,S14,MH2;MHZ,MH2;MHZ,,,usable_integrity
1,levent-01794,deep_moonquake_assigned,S12,MH2;MHZ,MH2;MHZ,,,usable_integrity
